date,product_id,traffic,impressions,payment,revenue,product_ad_spend,shop_ad_spend,auto_ad_spend,run_shop_ad,run_product_ad,product_page_bounce_count,traffic_from_search,wm_yr_wk,month,d,doubleday,near_dday,end_of_month,weekend,other_commercial_sale,day_offs,avg_price,promotion_on,promotion_price,price_bin,discount_rate,comment_received,product_rating,high_rating,high_discount,high_comment,avg_category_rate,avg_category_comment,week_of_month,wday,day_of_year,conversion_rate
5/1/2024,3388329772,0,0,0,0,0,67,30000,1,1,0,0,202417,5,1,0,0,0,0,0,1,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,1,3,122,0
5/2/2024,3388329772,0,0,0,0,0,5089,30000,1,1,0,0,202417,5,2,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,1,4,123,0
5/3/2024,3388329772,0,0,0,0,0,8849,30000,1,1,0,0,202417,5,3,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,1,5,124,0
5/4/2024,3388329772,0,0,0,0,0,11675,30000,1,1,0,0,202417,5,4,0,1,0,1,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,1,6,125,0
5/5/2024,3388329772,0,0,0,0,0,19085,25000,1,1,0,0,202418,5,5,1,0,0,1,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,1,7,126,0
5/6/2024,3388329772,0,0,0,0,0,8384,30000,1,1,0,0,202418,5,6,0,1,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,2,1,127,0
5/7/2024,3388329772,0,0,0,0,0,3710,30000,1,1,0,0,202418,5,7,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,2,2,128,0
5/8/2024,3388329772,0,0,0,0,0,6197,30000,1,1,0,0,202418,5,8,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,2,3,129,0
5/9/2024,3388329772,0,0,0,0,0,13513,30000,1,1,0,0,202418,5,9,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,2,4,130,0
5/10/2024,3388329772,0,0,0,0,0,49921,30000,1,1,0,0,202418,5,10,0,0,0,0,0,0,1166400,0,1166400,cheap,0,45,4.8,1,0,1,4.9,31,2,5,131,0
